sample,epoch,pid,comm,cpu_pct,rss_kb,elapsed_s
29,1785589196, 274979 appstore         0.4 225752    205
29,1785589196, 274982 settings         0.2 189128    205
29,1785589196, 274984 terminal         0.3 219692    205
30,1785589198, 273979 slopos-session   0.1  1888     480
30,1785589198, 273985 slopos-composit  0.5 103388    480
30,1785589198, 273987 slopos-shell     4.6 659704    480
30,1785589198, 273998 finder           0.3 307332    479
30,1785589198, 274965 textedit         0.3 223612    207
30,1785589198, 274979 appstore         0.4 225752    207
30,1785589198, 274982 settings         0.2 189128    207
30,1785589198, 274984 terminal         0.3 219692    207
